GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,ISO.g,glottolog.language.y
abon1238,10.8769,6.90621,0,,Abon,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],abo,Abon [abon1238][abo]
abro1238,-2.50289,7.72094,0,,Abron,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],abr,Abron [abro1238][abr]
abua1244,6.61492,4.83057,0,,Abua,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],abn,Abua [abua1244][abn]
abui1241,150.77,-6.12,2985,Abui,Abui,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Timor-Alor-Pantar [timo1261],abz,Abui [abui1241][abz]
abun1252,132.5,-0.5,1743,Abun,Abun,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Abun [abun1252][kgr],kgr,Abun [abun1252][kgr]
abur1243,-3.64123,5.21534,0,,Abure,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],abu,Abure [abur1243][abu]
abur1244,6.50634,4.62301,0,,Abureni,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],mgj,Abureni [abur1244][mgj]
abuu1241,142.95,-3.45,746,Arapesh (Abu),Abu,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Lower Sepik-Ramu [lowe1437],ado,Abu [abuu1241][ado]
acat1239,-99.0602,17.1034,0,,Acatepec Me'phaa,,Mesoamerica,C America,C America,Mesoamerica,0,0,Otomanguean [otom1299],tpx,Acatepec Me\phaa [acat1239][tpx]
acha1249,98.5,25,831,Achang,Achang,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sino-Tibetan [sino1245],acn,Achang [acha1249][acn]
acha1250,-72.25,4.42,825,Achagua,Achagua,,NE South America,S America,S America,NE South America,0,0,Arawakan [araw1281],aca,Achagua [acha1250][aca]
ache1244,102.446,24.152,0,,Ache (China),,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sino-Tibetan [sino1245],yif,Ache {China} [ache1244][yif]
