GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,ISO.g,glottolog.language.y
bagi1246,16,11.67,515,Bagirmi,Bagirmi,,African Savannah,Africa,Africa,African Savannah,0,0,Central Sudanic [cent2225],bmi,Bagirmi [bagi1246][bmi]
bago1245,1.41214,8.52697,0,,Bago-Kusuntu,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bqg,Bago-Kusuntu [bago1245][bqg]
bagr1243,74.33,29.58,1007,Bagri,Bagri,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Indo-European [indo1319],bgq,Bagri [bagr1243][bgq]
bagu1251,137.914,-1.98844,0,,Bagusa,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Kwerbic [kwer1242],bqb,Bagusa [bagu1251][bqb]
bagu1252,145.632,-5.07778,0,,Bagupi,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],bpi,Bagupi [bagu1252][bpi]
bagv1239,46.17,42.56,1840,Bagwalal,Bagvalal,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Nakh-Daghestanian [nakh1245],kva,Bagvalal [bagv1239][kva]
baha1256,104.449,23.0105,0,,Baha Buyang,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Tai-Kadai [taik1256],yha,Baha Buyang [baha1256][yha]
baha1257,115.332,0.30801,0,,Bahau,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],bhv,Bahau [baha1257][bhv]
baha1258,132.66,-3.17,3196,Baham,Baham,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,West Bomberai [west2604],bdw,Baham [baha1258][bdw]
baha1259,50.5,26,843,Arabic (Bahrain),Baharna Arabic,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Afro-Asiatic [afro1255],abv,Baharna Arabic [baha1259][abv]
baha1260,-79.15,25.2841,0,,Bahamian Creole English,,Mesoamerica,C America,C America,Mesoamerica,0,0,Indo-European [indo1319],bah,Bahamian Creole English [baha1260][bah]
bahi1252,86.4,27.3,3007,Bahing,Bahing,Himalaya,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Sino-Tibetan [sino1245],bhj,Bahing [bahi1252][bhj]
bahi1254,142.83,-4.58,1024,Bahinemo,Bahinemo,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Sepik [sepi1257],bjh,Bahinemo [bahi1254][bjh]
bahn1262,108.33,13.83,990,Bahnar (Plei Bong-Mang Yang),Bahnar,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austroasiatic [aust1305],bdq,Bahnar [bahn1262][bdq]
bahn1262,108.8,13.99,2851,Bahnar,Bahnar,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austroasiatic [aust1305],bdq,Bahnar [bahn1262][bdq]
baho1237,121.707,-2.22572,0,,Bahonsuai,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],bsu,Bahonsuai [baho1237][bsu]
baib1251,141.345,-3.42672,0,,Baibai,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Baibai-Fas [baib1250],bbf,Baibai [baib1251][bbf]
baii1251,26.4825,7.57221,0,,Bai,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bdj,Bai [baii1251][bdj]
baik1238,124.256,-9.32991,0,,Baikeno,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],bkx,Baikeno [baik1238][bkx]
baim1244,103.952,33.1001,0,,Baima,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sino-Tibetan [sino1245],bqh,Baima [baim1244][bqh]
baim1245,145.606,-5.18943,0,,Baimak,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],bmx,Baimak [baim1245][bmx]
bain1259,-16.0586,12.3128,0,,Bainouk-Gunyuno,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bab,Bainouk-Gunyuno [bain1259][bab]
bain1260,-15.9969,12.5053,0,,Bainouk-Samik,,African Savannah,Africa,Africa,African Savannah,0,0,Bookkeeping [book1242],bcb,Bainouk-Samik [bain1260][bcb]
bain1261,-16.229,12.8672,0,,Bainouk-Gunyaamolo,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bcz,Bainouk-Gunyaamolo [bain1261][bcz]
bais1242,10.7684,7.38023,0,,Baissa Fali,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],fah,Baissa Fali [bais1242][fah]
bais1246,37.75,6.25,1074,Bayso,Baiso,,Greater Abyssinia,Africa,Africa,Greater Abyssinia,0,0,Afro-Asiatic [afro1255],bsw,Baiso [bais1246][bsw]
baja1265,-59.5346,13.1365,0,,Bajan,,Mesoamerica,C America,C America,Mesoamerica,0,0,Indo-European [indo1319],bjs,Bajan [baja1265][bjs]
baje1238,42.9867,33.9498,0,,Bajelani,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Indo-European [indo1319],bjm,Bajelani [baje1238][bjm]
baka1272,13.58,2.58,1029,Baka (Cameroon),Baka (Cameroon),,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bkc,Baka {Cameroon} [baka1272][bkc]
baka1273,9.80402,4.79991,0,,Bakaka,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bqz,Bakaka [baka1273][bqz]
baka1274,29.25,4.83,986,Baka (Sudan),Baka (Sudan),,African Savannah,Africa,Africa,African Savannah,0,0,Central Sudanic [cent2225],bdh,Baka {Sudan} [baka1274][bdh]
baka1277,-55,-14,1034,Bakair,Bakair,,NE South America,S America,S America,NE South America,0,0,Cariban [cari1283],bkq,Bakairí [baka1277][bkq]
bakh1245,49.7713,32.0163,0,,Bakhtiari,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Indo-European [indo1319],bqi,Bakhtiari [bakh1245][bqi]
baki1244,168.165,-16.7096,0,,Baki,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],bki,Baki [baki1244][bki]
bako1249,9.99905,3.56518,0,,Bakoko,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bkh,Bakoko [bako1249][bkh]
bako1250,8.97387,4.43654,0,,Bakole,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],kme,Bakole [bako1250][kme]
bakp1238,8.26321,5.26756,0,,Bakpinka,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bbs,Bakpinka [bakp1238][bbs]
baku1263,114.77,-1.98842,0,,Bakumpai,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],bkr,Bakumpai [baku1263][bkr]
bakw1243,-6.51077,5.23123,0,,Bakw,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bjw,Bakwé [bakw1243][bjw]
bala1301,-15.3221,11.8203,0,,Balanta-Kentohe,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ble,Balanta-Kentohe [bala1301][ble]
bala1302,-15.33,12.25,1027,Balanta,Balanta-Ganja,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bjt,Balanta-Ganja [bala1302][bjt]
bala1306,110.913,1.33476,0,,Balau,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Bookkeeping [book1242],blg,Balau [bala1306][blg]
bala1310,121.17,17.17,1039,Balangao,Balangao,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],blw,Balangao [bala1310][blw]
bala1311,121.83,6.17,2480,Sama (Balangingi),Balangingi,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],sse,Balangingi [bala1311][sse]
bala1314,119.689,-0.05644,0,,Balaesang,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],bls,Balaesang [bala1314][bls]
bala1315,123.25,-0.83,1040,Balantak,Balantak,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],blz,Balantak [bala1315][blz]
bald1241,14.4674,10.9078,0,,Baldemu,,African Savannah,Africa,Africa,African Savannah,0,0,Afro-Asiatic [afro1255],bdn,Baldemu [bald1241][bdn]
bali1245,11.2952,8.81345,0,,Bali (Nigeria),,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bcn,Bali {Nigeria} [bali1245][bcn]
bali1274,26.5941,1.1807,0,,Bali (Democratic Republic of Congo),,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],bcp,Bali {Democratic Republic of Congo} [bali1274][bcp]
bali1278,115.25,-8.33,1099,Balinese,Balinese,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],ban,Balinese [bali1278][ban]
bali1279,115.075,-8.35714,0,,Balinese Malay,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],mhp,Balinese Malay [bali1279][mhp]
balk1252,27,38.25,798,Romani (Sepecides),Balkan Romani,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Indo-European [indo1319],rmn,Balkan Romani [balk1252][rmn]
balk1252,21.17,42.67,1394,Romani (Bugurdzi),Balkan Romani,,Europe,W and SW Eurasia,W and SW Eurasia,Europe,0,0,Indo-European [indo1319],rmn,Balkan Romani [balk1252][rmn]
balk1252,23.58,38,1393,Romani (Ajia Varvara),Balkan Romani,,Europe,W and SW Eurasia,W and SW Eurasia,Europe,0,0,Indo-European [indo1319],rmn,Balkan Romani [balk1252][rmn]
balk1254,24.4457,41.1705,0,,Balkan Gagauz Turkish,,Europe,W and SW Eurasia,W and SW Eurasia,Europe,0,0,Turkic [turk1311],bgx,Balkan Gagauz Turkish [balk1254][bgx]
balo1260,62,28,1006,Baluchi,,,Indic,S/SE Asia,W and SW Eurasia,Greater Mesopotamia,1,1,Indo-European [indo1319],'Balochic [balo1260]',Balochic [balo1260]
balo1261,18.1266,0.93777,0,,Baloi,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],biz,Baloi [balo1261][biz]
balo1264,9.69365,6.12552,0,,Balo,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bqo,Balo [balo1264][bqo]
balt1257,38,60,0,,Baltic Romani,,Inner Asia,N-C Asia,N-C Asia,Inner Asia,0,0,Indo-European [indo1319],rml,Baltic Romani [balt1257][rml]
balt1258,76.2,35,631,Balti,Balti,Himalaya,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Sino-Tibetan [sino1245],bft,Balti [balt1258][bft]
balu1257,147.282,-2.5604,0,,Baluan-Pam,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],blq,Baluan-Pam [balu1257][blq]
bama1249,-8.00136,12.651,0,,Bamako Sign Language,,African Savannah,Africa,Africa,African Savannah,0,0,Sign Language [sign1238],bog,Bamako Sign Language [bama1249][bog]
bama1251,10.4567,5.91327,0,,Bamali,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bbq,Bamali [bama1251][bbq]
bamb1262,34.6522,9.82554,0,,Bambassi,,Greater Abyssinia,Africa,Africa,Greater Abyssinia,0,0,Mao [maoo1243],myf,Bambassi [bamb1262][myf]
bamb1265,10.544,5.861,0,,Bambalang,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bmo,Bambalang [bamb1265][bmo]
bamb1266,10.2,6.12,964,Mbili,Bambili-Bambui,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],baw,Bambili-Bambui [bamb1266][baw]
bamb1269,-7.5,12.5,516,Bambara,Bambara,,African Savannah,Africa,Africa,African Savannah,0,0,Mande [mand1469],bam,Bambara [bamb1269][bam]
bamb1270,119.08,-3.08,2342,Bambam,Bambam,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],ptu,Bambam [bamb1270][ptu]
bame1260,10.3302,5.77049,0,,Bamenyam,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bce,Bamenyam [bame1260][bce]
bamu1253,10.92,5.5,965,Bamun,Bamun,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bax,Bamun [bamu1253][bax]
bamu1254,10.3537,5.87292,0,,Bamukumbit,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bqt,Bamukumbit [bamu1254][bqt]
bamu1256,10.5127,6.00203,0,,Bamunka,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bvm,Bamunka [bamu1256][bvm]
bamu1257,143.545,-7.93818,0,,Bamu,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Kiwaian [kiwa1251],bcf,Bamu [bamu1257][bcf]
bamw1238,19.1644,2.16773,0,,Bamwe,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],bmg,Bamwe [bamw1238][bmg]
bana1288,121.05,17.5643,0,,Banao Itneg,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],bjx,Banao Itneg [bana1288][bjx]
bana1292,144.329,-4.56615,0,,Banaro,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Banaro [bana1292][byz],byz,Banaro [bana1292][byz]
bana1305,13.58,10.42,981,Bana,Bana,,African Savannah,Africa,Africa,African Savannah,0,0,Afro-Asiatic [afro1255],bcw,Bana [bana1305][bcw]
band1337,143.282,-30.0771,0,,Bandjigali,,S Australia,Australia,Australia,S Australia,0,0,Bookkeeping [book1242],bjd,Bandjigali [band1337][bjd]
band1339,152.58,-29.08,1230,Bandjalang (Waalubal),Bandjalang,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],bdy,Bandjalang [band1339][bdy]
band1339,153,-27.92,1231,Bandjalang (Yugumbir),Bandjalang,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],bdy,Bandjalang [band1339][bdy]
band1339,152.42,-28.42,1232,Gidabal,Bandjalang,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],bdy,Bandjalang [band1339][bdy]
band1339,153,-28.92,1229,Bandjalang (Casino),Bandjalang,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],bdy,Bandjalang [band1339][bdy]
band1339,153,-28.75,660,Bandjalang,Bandjalang,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],bdy,Bandjalang [band1339][bdy]
band1340,-16.21,12.39,3026,Bandial,Bandial,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bqj,Bandial [band1340][bqj]
band1342,23.0108,7.32924,0,,Banda-Mbrs,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bqk,Banda-Mbrès [band1342][bqk]
band1343,22.7568,6.63889,0,,Banda-Banda,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bpd,Banda-Banda [band1343][bpd]
band1344,20.75,6.5,1892,Linda,Banda-Bambari,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],liy,Banda-Bambari [band1344][liy]
band1345,23.9021,8.03339,0,,Banda-Ndl,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bfl,Banda-Ndélé [band1345][bfl]
band1348,16.5907,3.95763,0,,Banda-Yangere,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],yaj,Banda-Yangere [band1348][yaj]
band1352,-10.25,8.08,1521,Bandi,Bandi,,African Savannah,Africa,Africa,African Savannah,0,0,Mande [mand1469],bza,Bandi [band1352][bza]
band1353,129.905,-4.55565,0,,Banda Malay,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],bpq,Banda Malay [band1353][bpq]
band1355,133.142,-5.42138,0,,Banda (Indonesia),,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],bnd,Banda {Indonesia} [band1355][bnd]
bang1339,137,-32,1023,Banggarla,Banggarla,,S Australia,Australia,Australia,S Australia,0,0,Pama-Nyungan [pama1250],bjb,Banggarla [bang1339][bjb]
bang1345,28.3138,3.39956,0,,Bangba,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],bbe,Bangba [bang1345][bbe]
bang1347,14.7506,2.18716,0,,Bangandu,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bgf,Bangandu [bang1347][bgf]
bang1348,11.2022,9.57157,0,,Bangwinji,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bsj,Bangwinji [bang1348][bsj]
bang1350,27.2438,-4.31464,0,,Bangubangu,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],bnx,Bangubangu [bang1350][bnx]
bang1353,28.0445,3.3466,0,,Bangala,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],bxg,Bangala [bang1353][bxg]
bang1354,17.33,-1.33,1045,Bobangi,Bangi,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],bni,Bangi [bang1354][bni]
bang1356,10.667,6.0125,0,,Bangolan,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bgj,Bangolan [bang1356][bgj]
bang1363,-3.83,14.92,3193,Bangime,Bangime,,African Savannah,Africa,Africa,African Savannah,0,0,Bangime [bang1363][dba],dba,Bangime [bang1363][dba]
bang1365,105.897,-1.73288,0,,Bangka,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],mfb,Bangka [bang1365][mfb]
bang1368,123.17,-1.42,1008,Banggai,Banggai,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],bgz,Banggai [bang1368][bgz]
bang1369,93.15,27.95,0,,Bangru,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Sino-Tibetan [sino1245],'Bangru [bang1369]',Bangru [bang1369]
bani1254,-67.5633,5.26123,0,,Baniva,,NE South America,S America,S America,NE South America,0,0,Arawakan [araw1281],bvv,Baniva [bani1254][bvv]
bani1255,-66.83,2.67,960,Baniwa,Baniwa,,NE South America,S America,S America,NE South America,0,0,Arawakan [araw1281],bwi,Baniwa [bani1255][bwi]
banj1239,115.79,0.747105,0,,Banjar,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],bjn,Banjar [banj1239][bjn]
bank1251,103.296,16.911,0,,Ban Khor Sign Language,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Sign Language [sign1238],bfk,Ban Khor Sign Language [bank1251][bfk]
bank1256,9.58,4.42,821,Bankon,Bankon,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],abb,Bankon [bank1256][abb]
bank1258,-5.50744,11.7497,0,,Bankagooma,,African Savannah,Africa,Africa,African Savannah,0,0,Mande [mand1469],bxw,Bankagooma [bank1258][bxw]
bann1247,155.25,-6.42,977,Banoni,Bannoni,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],bcm,Bannoni [bann1247][bcm]
bant1281,87.0475,27.1775,2873,Bantawa,Bantawa,Himalaya,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Sino-Tibetan [sino1245],bap,Bantawa [bant1281][bap]
bant1286,124.75,1.42,1046,Bantik,Bantik,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],bnq,Bantik [bant1286][bnq]
bant1288,122.034,12.5194,0,,Bantoanon,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],bno,Bantoanon [bant1288][bno]
baou1238,-5,7,974,Baule,Baoul,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bci,Baoulé [baou1238][bci]
bara1357,85.0584,28.3768,0,,Baraamu,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Sino-Tibetan [sino1245],brd,Baraamu [bara1357][brd]
bara1361,27,3.5,1065,Barambu,Barambu,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],brm,Barambu [bara1361][brm]
bara1362,10.6777,-2.49659,0,,Barama,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],bbg,Barama [bara1362][bbg]
bara1367,134.671,-6.7394,0,,Barakai,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],baj,Barakai [bara1367][baj]
bara1369,45.5937,-23.9716,0,,Bara Malagasy,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],bhr,Bara Malagasy [bara1369][bhr]
bara1370,114.5,3.5,1855,Kayan (Baram),Baram Kayan,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],kys,Baram Kayan [bara1370][kys]
bara1371,119.342,-1.5667,0,,Baras,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],brs,Baras [bara1371][brs]
bara1375,137.054,-2.28732,0,,Barapasi,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Geelvink Bay [geel1240],brp,Barapasi [bara1375][brp]
bara1378,143.002,-8.4885,0,,Baramu,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Anim [anim1240],bmz,Baramu [bara1378][bmz]
bara1380,-70.67,-0.17,493,Barasano,Barasana-Eduria,,NE South America,S America,S America,NE South America,0,0,Tucanoan [tuca1253],bsn,Barasana-Eduria [bara1380][bsn]
barb1242,-78.4834,1.5206,0,,Barbacoas,,Andean,S America,S America,Andean,0,0,Unattested [unat1236],bpb,Barbacoas [barb1242][bpb]
barb1263,-120.25,34.5,1048,Barbareo,Barbareo,,California,W N America,W N America,California,0,0,Chumashan [chum1262],boi,Barbareño [barb1263][boi]
barc1235,-8.09378,4.67843,0,,Barclayville Grebo,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],gry,Barclayville Grebo [barc1235][gry]
bard1255,122.92,-16.58,975,Bardi,Bardi,,N Australia,Australia,Australia,N Australia,0,0,Nyulnyulan [nyul1248],bcj,Bardi [bard1255][bcj]
bare1276,-64,-0.33,958,Bar,Bar,,NE South America,S America,S America,NE South America,0,0,Arawakan [araw1281],bae,Baré [bare1276][bae]
bare1276,-62.5,-0.5,749,Bahuana,Bar,,NE South America,S America,S America,NE South America,0,0,Arawakan [araw1281],bae,Baré [bare1276][bae]
bare1279,18.0764,11.1168,0,,Barein,,African Savannah,Africa,Africa,African Savannah,0,0,Afro-Asiatic [afro1255],bva,Barein [bare1279][bva]
barg1252,145.75,-4.88,2031,Mugil,Bargam,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],mlp,Bargam [barg1252][mlp]
bari1241,8.4331,11.989,0,,Barikanchi,,African Savannah,Africa,Africa,African Savannah,0,0,Pidgin [pidg1258],bxo,Barikanchi [bari1241][bxo]
bari1284,31.67,5.83,1233,Kuk,Bari (Nilotic),,African Savannah,Africa,Africa,African Savannah,0,0,Nilotic [nilo1247],bfa,Bari {Nilotic} [bari1284][bfa]
bari1284,31.67,5,1000,Bari,Bari (Nilotic),,African Savannah,Africa,Africa,African Savannah,0,0,Nilotic [nilo1247],bfa,Bari {Nilotic} [bari1284][bfa]
bari1286,150.15,-5.55,2982,Bariai,Bariai,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],bch,Bariai [bari1286][bch]
bari1290,148.454,-9.231,0,,Bariji,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Yareban [yare1250],bjc,Bariji [bari1290][bjc]
bari1297,-73,9,2059,Motiln (Chibchan),Bari (Chibchan),,NE South America,S America,S America,NE South America,0,0,Chibchan [chib1249],mot,Bari {Chibchan} [bari1297][mot]
bari1298,143.99279,-7.09739,0,,Barikewa,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Turama-Kikori [tura1263],jbk,Barikewa [bari1298][jbk]
baro1252,9.25261,4.64584,0,,Barombi,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bbi,Barombi [baro1252][bbi]
baro1253,152.193,-3.47672,0,,Barok,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],bjk,Barok [baro1253][bjk]
barr1247,144.531,-14.1219,0,,Barrow Point,,N Australia,Australia,Australia,N Australia,0,0,Pama-Nyungan [pama1250],bpt,Barrow Point [barr1247][bpt]
barr1251,-72.044,6.12622,0,,Barro Negro Tunebo,,NE South America,S America,S America,NE South America,0,0,Chibchan [chib1249],tbn,Barro Negro Tunebo [barr1251][tbn]
baru1267,145.92,-6.92,1098,Baruya,Baruya,,Interior New Guinea,NG and Oceania,NG and Oceania,Interior New Guinea,0,0,Angan [anga1289],byr,Baruya [baru1267][byr]
baru1269,148.77,-9.4,3076,Baruga,Baruga,,S New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,0,Nuclear Trans New Guinea [nucl1709],bjz,Baruga [baru1269][bjz]
barw1243,33.4534,-17.675,0,,Barwe,,S Africa,Africa,Africa,S Africa,0,0,Atlantic-Congo [atla1278],bwg,Barwe [barw1243][bwg]
barz1241,35.1536,31.7696,0,,Barzani Jewish Neo-Aramaic,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Afro-Asiatic [afro1255],bjf,Barzani Jewish Neo-Aramaic [barz1241][bjf]
basa1280,6.58105,9.94207,0,,Basa-Gumna,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bsl,Basa-Gumna [basa1280][bsl]
basa1281,6.74865,10.2488,0,,Basa-Gurmana,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],buj,Basa-Gurmana [basa1281][buj]
basa1282,7.06183,8.03159,0,,Basa (Nigeria),,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bzw,Basa {Nigeria} [basa1282][bzw]
basa1284,10.5,3.92,957,Basaa,Basa (Cameroon),,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bas,Basa {Cameroon} [basa1284][bas]
basa1286,117.942,1.41405,0,,Basap,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Austronesian [aust1307],bdb,Basap [basa1286][bdb]
basa1287,121.857,25.0046,0,,Basay,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],byq,Basay [basa1287][byq]
bash1263,53,32,0,,Bashkardi,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Indo-European [indo1319],bsg,Bashkardi [bash1263][bsg]
