Language,ISO,Country
Maklew,mgf,Indonesia (Papua)
Yelmek,jel,Indonesia (Papua)
Burmeso ~ Taurap,bzu,Indonesia (Papua)
Damal ~ Uhunduni,uhn,Indonesia (Papua)
Doso,dol,Papua New Guinea
Bine,bon,Papua New Guinea
Gizrra,tof,Papua New Guinea
Meriam,ulk,Australia
Wipi,gdr,Papua New Guinea
Anasi,bpo,Indonesia (Papua)
Barapasi,brp,Indonesia (Papua)
Bauzi,bvz,Indonesia (Papua)
Burate,bti,Indonesia (Papua)
Demisa,dei,Indonesia (Papua)
Kofei,kpi,Indonesia (Papua)
Nisa,njs,Indonesia (Papua)
Sauri,srt,Indonesia (Papua)
Tefaro,tfo,Indonesia (Papua)
Tunggare,trt,Indonesia (Papua)
Woria,wor,Indonesia (Papua)
Elseng ~ Morwap,mrf,Indonesia (Papua)
Ari,aac,Papua New Guinea
Gogodala,ggw,Papua New Guinea
Suki,sui,Papua New Guinea
Waruna,wrv,Papua New Guinea
Duriankere,dbn,Indonesia (Papua)
Suabo,szp,Indonesia (Papua)
Karkar-Yuri,yuj,Papua New Guinea
Kapori,khp,Indonesia (Papua)
Kaure,bpp,Indonesia (Papua)
Kosadle,kiq,Indonesia (Papua)
Narau,nxu,Indonesia (Papua)
Atohwaim,aqm,Indonesia (Papua)
Kayagar,kyt,Indonesia (Papua)
Tamagario,tcg,Indonesia (Papua)
Kehu,khh,Indonesia (Papua)
Kembra,xkw,Indonesia (Papua)
Kibiri ~ Porome,prm,Papua New Guinea
Bamu,bcf,Papua New Guinea
Kerewo,kxz,Papua New Guinea
"Kiwai, Northeast",kiw,Papua New Guinea
"Kiwai, Southern",kjd,Papua New Guinea
Morigi,mdb,Papua New Guinea
Waboda,kmx,Papua New Guinea
Barai,bbb,Papua New Guinea
Ese,mcq,Papua New Guinea
"Koiali, Mountain",kpx,Papua New Guinea
"Koiari, Grass",kbk,Papua New Guinea
Koitabu,kqi,Papua New Guinea
Namiae,nvm,Papua New Guinea
Ömie,aom,Papua New Guinea
Konda,knd,Indonesia (Papua)
Yahadian,ner,Indonesia (Papua)
Airoran,air,Indonesia (Papua)
Bagusa,bqb,Indonesia (Papua)
Isirawa,srl,Indonesia (Papua)
Kauwera,xau,Indonesia (Papua)
Kwerba,kwe,Indonesia (Papua)
Kwerba Mamberamo,xwr,Indonesia (Papua)
Samarokena,tmj,Indonesia (Papua)
Trimuris,tip,Indonesia (Papua)
Fas,fqs,Papua New Guinea
Guriaso,grx,Papua New Guinea
Kwomtari,kwo,Papua New Guinea
Awera,awr,Indonesia (Papua)
Biritai,bqq,Indonesia (Papua)
Doutai,tds,Indonesia (Papua)
Duvle,duv,Indonesia (Papua)
Edopi,dbf,Indonesia (Papua)
Eritai,ert,Indonesia (Papua)
Fayu,fau,Indonesia (Papua)
Foau,flh,Indonesia (Papua)
Iau,tmu,Indonesia (Papua)
Kaiy,tcq,Indonesia (Papua)
Kirikiri,kiy,Indonesia (Papua)
Kwerisa,kkb,Indonesia (Papua)
Obokuitai,afz,Indonesia (Papua)
Papasena,pas,Indonesia (Papua)
Rasawa,rac,Indonesia (Papua)
Saponi,spi,Indonesia (Papua)
Sikaritai,tty,Indonesia (Papua)
Tause,tad,Indonesia (Papua)
Taworta,tbp,Indonesia (Papua)
Waritai,wbe,Indonesia (Papua)
Ama ~ Sawiyano,amm,Papua New Guinea
Bo,bpw,Papua New Guinea
Iteri,itr,Papua New Guinea
Nakwi,nax,Papua New Guinea
Nimo,niw,Papua New Guinea
Owiniga,owi,Papua New Guinea
Lepki,lpe,Indonesia (Papua)
Warembori,wsa,Indonesia (Papua)
Yoke,yki,Indonesia (Papua)
Angoram,aog,Papua New Guinea
Chambri,can,Papua New Guinea
Kopar,xop,Papua New Guinea
Murik,mtf,Papua New Guinea
Tabriak,tzx,Papua New Guinea
Yimas,yee,Papua New Guinea
Abu,ado,Papua New Guinea
Aiome,aki,Papua New Guinea
Akrukay,afi,Papua New Guinea
Ambakich,aew,Papua New Guinea
Andarum,aod,Papua New Guinea
Anor,anj,Papua New Guinea
Ap Ma ~ Kambot,kbx,Papua New Guinea
Awar,aya,Papua New Guinea
Aruamu ~ Mikarew,msy,Papua New Guinea
Banaro,byz,Papua New Guinea
